word,meaning,n,ke,te,inte,nice,ice,ine,ene,cn,she,ixe,esis,ese,summ
zitser,sitter; buttocks,0,3,0,0,0,0,0,0,0,0,0,0,0,3
frantsoyz,Frenchman,2,1,0,0,0,0,0,0,0,0,0,0,0,3
frantsoyz,cockroach,2,1,0,0,0,0,0,0,0,0,0,0,0,3
rus,cockroach,0,3,0,0,0,0,0,0,0,0,0,0,0,3
agent,agent,1,1,0,0,0,0,0,0,0,0,0,0,0,2
akademiker,academician source: Forwards,2,0,0,0,0,0,0,0,0,0,0,0,0,2
aktivist,activist,0,2,0,0,0,0,0,0,0,0,0,0,0,2
amt,office,2,0,0,0,0,0,0,0,0,0,0,0,0,2
asistent,assistant (English),1,1,0,0,0,0,0,0,0,0,0,0,0,2
bilyoner,billionaire,1,1,0,0,0,0,0,0,0,0,0,0,0,2
bundist,Bundist,1,1,0,0,0,0,0,0,0,0,0,0,0,2
bit,has diminutive,0,0,0,0,0,0,0,0,0,2,0,0,0,2
bor,boron (B),0,0,0,0,0,0,0,2,0,0,0,0,0,2
oysbrenger,spendthrift,2,0,0,0,0,0,0,0,0,0,0,0,0,2
dentist,dentist,2,0,0,0,0,0,0,0,0,0,0,0,0,2
dikh,thigh source: Harduf,0,0,2,0,0,0,0,0,0,0,0,0,0,2
diner,server,2,0,0,0,0,0,0,0,0,0,0,0,0,2
din,law,0,0,0,0,0,2,0,0,0,0,0,0,0,2
disk,plural in -n,2,0,0,0,0,0,0,0,0,0,0,0,0,2
dok,dock,0,0,2,0,0,0,0,0,0,0,0,0,0,2
don,Miss (Spanish,1,0,0,0,0,1,0,0,0,0,0,0,0,2
druker,printer,1,1,0,0,0,0,0,0,0,0,0,0,0,2
farerer,devotГ©e; suitor,2,0,0,0,0,0,0,0,0,0,0,0,0,2
fey,letter Feh,0,2,0,0,0,0,0,0,0,0,0,0,0,2
firsht,noblewoman,2,0,0,0,0,0,0,0,0,0,0,0,0,2
fisher,wife of a fisher,0,1,0,0,0,0,0,0,0,1,0,0,0,2
flaks,adjectival form with -n,0,0,0,0,0,0,0,2,0,0,0,0,0,2
fleytist,flautist,2,0,0,0,0,0,0,0,0,0,0,0,0,2
fliker,plucker,1,1,0,0,0,0,0,0,0,0,0,0,0,2
geler,blond; redhead,0,0,2,0,0,0,0,0,0,0,0,0,0,2
gratsh,hot-headed person,0,2,0,0,0,0,0,0,0,0,0,0,0,2
gris,greeting,0,2,0,0,0,0,0,0,0,0,0,0,0,2
gubernator,governor,1,0,0,0,0,0,0,0,0,1,0,0,0,2
farhak,standoff source: Yiddish League,0,0,2,0,0,0,0,0,0,0,0,0,0,2
hero,hero (English),2,0,0,0,0,0,0,0,0,0,0,0,0,2
hiter,guard; guardian,2,0,0,0,0,0,0,0,0,0,0,0,0,2
koyfer,atheist,2,0,0,0,0,0,0,0,0,0,0,0,0,2
imperator,empress,2,0,0,0,0,0,0,0,0,0,0,0,0,2
kam,comb; mountain crest,2,0,0,0,0,0,0,0,0,0,0,0,0,2
karton,adjectival form with -en,0,0,0,0,0,0,0,2,0,0,0,0,0,2
kern,seed,0,0,0,0,0,2,0,0,0,0,0,0,0,2
keyser,czar,2,0,0,0,0,0,0,0,0,0,0,0,0,2
keyser,Kaiser,2,0,0,0,0,0,0,0,0,0,0,0,0,2
khoreograf,choreographer,2,0,0,0,0,0,0,0,0,0,0,0,0,2
kit,putty,0,0,0,0,0,0,0,0,0,2,0,0,0,2
klin,wedge,2,0,0,0,0,0,0,0,0,0,0,0,0,2
kof,letter Kof,0,0,2,0,0,0,0,0,0,0,0,0,0,2
kekher,cook,2,0,0,0,0,0,0,0,0,0,0,0,0,2
komentator,commentator; popularizer,2,0,0,0,0,0,0,0,0,0,0,0,0,2
koordinirer,coordinator,2,0,0,0,0,0,0,0,0,0,0,0,0,2
koyfer,buyer,2,0,0,0,0,0,0,0,0,0,0,0,0,2
ku,the letter Q,0,2,0,0,0,0,0,0,0,0,0,0,0,2
kuzin,cousin,0,2,0,0,0,0,0,0,0,0,0,0,0,2
kvit,receipt,0,1,0,0,0,0,0,0,0,1,0,0,0,2
farleger,publisher,0,0,2,0,0,0,0,0,0,0,0,0,0,2
man,male,0,0,2,0,0,0,0,0,0,0,0,0,0,2
man,has diminutive,0,0,2,0,0,0,0,0,0,0,0,0,0,2
man,manna,0,0,2,0,0,0,0,0,0,0,0,0,0,2
martirer,martyr,1,0,0,0,0,0,0,0,0,1,0,0,0,2
marts,adjectival form with -ov,2,0,0,0,0,0,0,0,0,0,0,0,0,2
mashinist,machinist,0,2,0,0,0,0,0,0,0,0,0,0,0,2
minister,minister,1,0,0,0,0,0,0,0,0,1,0,0,0,2
mon,poppy,0,0,2,0,0,0,0,0,0,0,0,0,0,2
merder,murderous,1,0,0,0,0,0,0,0,0,1,0,0,0,2
muzikolog,musicologist,2,0,0,0,0,0,0,0,0,0,0,0,0,2
nos,sneeze,0,2,0,0,0,0,0,0,0,0,0,0,0,2
odler,eagle (bird); horse (balegole-loshn),0,2,0,0,0,0,0,0,0,0,0,0,0,2
parashutist,parachutist,0,2,0,0,0,0,0,0,0,0,0,0,0,2
parmet,parchment,0,0,0,0,0,0,0,2,0,0,0,0,0,2
patsh,tap,0,2,0,0,0,0,0,0,0,0,0,0,0,2
